Hour,Target_Q,Actual_Q,WHP,FLP,BHP,Choke_Position
0,120.0,39.66503656338725,1616.0921542801354,723.0430805125053,2966.1977649296405,14.5
1,120.0,52.91402886786181,1545.3828699577907,694.8444903131158,2876.1750682301413,19.5
2,120.0,67.2891792512608,1475.022349578139,665.5431541719983,2782.8301145652867,24.5
3,120.0,82.22390617189683,1401.3999325052284,634.6457288958343,2688.026382704889,29.5
4,120.0,95.55925761011721,1325.7343496246156,603.5211396904118,2588.0542316414444,34.5
5,120.0,111.02318734772528,1246.7863353335702,570.3079674173415,2483.8001939669202,39.5
6,120.0,119.54229125399974,1197.901379788072,550.7428351042322,2418.6135477285293,42.5
7,120.0,120.46554809959395,1200.4298709305617,551.9891546265087,2418.560804440134,42.5
8,120.0,120.27080722994133,1198.5043293581887,550.8926152960744,2416.2603145047888,42.5
9,120.0,121.34408295270313,1200.1552207711147,551.2891974849023,2418.1694599939174,42.5
10,120.0,120.35632925726348,1199.9778273999411,552.0815344701062,2418.220952931814,42.5
11,120.0,119.07025125500019,1198.9953018750734,551.0693813385328,2419.5464311209475,42.5
12,120.0,120.46783755071516,1200.7142839096064,551.4671966194043,2418.5290896412353,42.5
13,120.0,120.05934147841252,1200.1179195191703,551.1176426970446,2417.037286692499,42.5
14,120.0,120.34393839396678,1199.9196760676148,551.4461914823503,2418.9074681049237,42.5
15,120.0,119.69059845069717,1201.4726656186529,550.9434975558431,2418.1910474996102,42.5
16,120.0,119.06959915082362,1198.629204432795,551.8571300873334,2417.4359270865957,42.5
17,120.0,119.94488924993973,1199.0933181542807,551.161955765978,2418.5364644518986,42.5
18,120.0,120.62811417672216,1199.8442991459442,551.4071268087841,2414.902912767924,42.5
19,120.0,119.9418119141271,1199.8254356672396,551.6890841060546,2417.285888686239,42.5
20,120.0,120.26403928326211,1202.0056585125117,550.8961642170841,2418.1830416087005,42.5
21,120.0,119.55909765947311,1197.4157166529453,551.1301755151134,2418.166681677955,42.5
22,120.0,119.49586950564105,1200.4417526806833,550.8590856718426,2418.923074942783,42.5
23,120.0,120.62810164346374,1199.8601880916326,552.0218029275092,2419.798622092234,42.5
24,120.0,119.80060366830918,1202.1555453801057,551.1688958556446,2416.561192636707,42.5
25,120.0,119.91881794983152,1201.2588850797276,551.1899669740845,2417.9493877465998,42.5
26,120.0,120.66674615195808,1197.8196490311661,551.7104138720495,2417.86441971613,42.5
27,120.0,120.2955621050146,1200.6337044914776,550.5053489803695,2418.1704080123463,42.5
28,120.0,119.57350464515231,1200.2237676165914,551.3172329447915,2417.0949435949847,42.5
29,120.0,119.73319785916681,1200.1898550676567,551.4519983619228,2417.8249455041464,42.5
30,120.0,119.2836018737405,1198.1736044839838,551.8676691049264,2418.1287854321567,42.5
31,120.0,120.08108264063304,1200.7000586233682,552.0119469545466,2418.1620282841,42.5
32,120.0,120.04293771914546,1199.384769670408,551.2983280385232,2417.4094895970948,42.5
33,120.0,120.22304084642943,1200.6537058177485,551.7260520331827,2418.4191528746283,42.5
34,120.0,121.10576135339689,1200.761305194704,551.6182959189248,2419.024578657746,42.5
35,120.0,120.45765805883441,1201.241176463341,551.6066647267588,2417.162759217325,42.5
36,120.0,119.89091795021875,1200.3123541611458,551.6806281300744,2417.6911579704747,42.5
37,120.0,119.82005170957126,1199.4828687539687,550.7685962126992,2419.5337516857285,42.5
38,120.0,120.039669257996,1200.3752799109295,551.0503666689286,2417.197375667331,42.5
39,120.0,120.3107744466849,1199.8579318316395,552.3825523001655,2418.348761131541,42.5
40,120.0,120.55552716326204,1199.2969584736757,552.3031307254773,2416.431150338818,42.5
41,120.0,119.2922359239093,1199.4174096255374,551.7748982555568,2416.845530384206,42.5
42,120.0,119.8846077607102,1200.166430789059,551.7257603074311,2417.481968322976,42.5
43,120.0,120.08174974650268,1199.3000836702606,551.408276263857,2419.109288850999,42.5
44,120.0,120.02991839221428,1199.5624027081242,551.9225573919133,2418.3985554359388,42.5
45,120.0,119.96931803107886,1201.2731859877563,552.1732147146539,2419.516890782613,42.5
46,120.0,120.48514938524092,1200.2993584301646,550.4367864450625,2415.8855436596227,42.5
47,120.0,120.0985121110542,1201.033145374882,551.7442649691444,2418.175601515552,42.5
48,120.0,119.83802226292809,1199.6310694645854,550.8267862633191,2418.593540136114,42.5
49,120.0,120.90871629115783,1198.5902994956357,551.8484539799988,2417.879256880656,42.5
