Time_hr,Target_Q,Actual_Q,WHP,FLP,BHP,Choke_Position
0,120.0,101.90405774110317,260.1314974866903,183.15191914112629,3079.4764023140633,35.0
1,120.0,110.69702803766536,255.04429276530124,179.8376230561648,3066.4730822967294,40.0
2,120.0,120.06194503364563,249.80336305216952,175.74707606379184,3050.657468430442,45.0
3,120.0,119.85859549292785,249.79268819081236,176.37193449469177,3049.090690725686,45.0
4,120.0,119.86780047636827,250.22664837533773,175.86988269063707,3050.6255865812873,45.0
5,120.0,120.05412767668598,249.91561615586656,175.794609535055,3050.1045358290307,45.0
6,120.0,119.79412758044901,249.9980026301636,175.34261816656803,3050.086760536703,45.0
7,120.0,119.92069134208177,249.17356130557508,176.16567118736018,3050.1223170812577,45.0
8,120.0,119.77103041971348,249.71454305822311,174.9999145074581,3049.5343459154783,45.0
9,120.0,120.11755377309915,249.71626856784385,176.04980942202357,3050.133684918554,45.0
10,120.0,120.10486889163312,249.69969852570682,176.356584635871,3049.458848410948,45.0
11,120.0,120.07168772802856,249.87004099838884,175.95285449464058,3051.345993397443,45.0
12,120.0,120.12859541890033,249.1127672935167,175.20366202164382,3049.299274259585,45.0
13,120.0,120.04337049494046,249.65909423965527,176.01559028601565,3050.2970759998448,45.0
14,120.0,120.30698492045555,249.58436339929517,176.2304924081991,3050.109948116924,45.0
15,120.0,120.1129997036302,249.63492554191265,176.06454166032256,3051.768801103276,45.0
16,120.0,120.00610664464439,250.19806724177894,175.3836752100966,3051.540381234188,45.0
17,120.0,119.97778237839637,249.83933874669503,175.33930200407676,3049.9126868944077,45.0
18,120.0,120.14157245879319,249.6878694127713,176.24769950772907,3049.9270532188716,45.0
19,120.0,120.4418951491537,248.85676269658825,175.9819500747484,3049.7510000350467,45.0
20,120.0,120.10439929624131,249.73144718966023,175.60922554102655,3051.32698895348,45.0
21,120.0,120.20428268931464,249.68887181141417,175.86348482968106,3049.901835195954,45.0
22,120.0,120.12999914188758,249.56562687332016,175.78288519246013,3051.0987122186134,45.0
23,120.0,120.01820390071164,249.1135045883141,175.83805946404075,3049.194301487353,45.0
24,120.0,120.05104976683349,249.49876708965857,176.07552828521588,3050.297873595206,45.0
25,120.0,120.47622702858752,249.87589199540557,176.12817606320039,3050.555651455878,45.0
26,120.0,120.42713952901605,249.5126034543264,175.70042183800652,3049.6363368792063,45.0
27,120.0,119.71938709929626,250.10730332013563,175.39550062215093,3049.161925147618,45.0
28,120.0,120.35036791358476,250.03179489525493,176.14299456334857,3049.6305038866517,45.0
29,120.0,120.22239702710836,249.8349430681625,175.7514460183077,3049.022424628813,45.0
30,120.0,120.16051682008201,249.35991429040337,175.52758108544379,3050.830601510049,45.0
31,120.0,120.09760180674411,249.98019666140962,175.81741504277943,3050.2949411635595,45.0
32,120.0,119.79641432981086,249.61416098597445,175.63871656502553,3050.05651108236,45.0
33,120.0,120.3574075347651,249.81697410802857,175.46936492663468,3050.1428128529183,45.0
34,120.0,120.05906023558947,249.66198515612516,175.89767993877274,3051.1653214968906,45.0
35,120.0,120.0616355756963,249.51200878347942,175.56908876448165,3050.637321626919,45.0
36,120.0,119.59564336958793,248.501346599294,175.91360443789776,3049.9855497621456,45.0
37,120.0,120.14975202736294,249.73047934108158,176.0320334311361,3051.281137885,45.0
38,120.0,119.97638627053662,249.85540928142018,175.8106670866079,3049.9886196889165,45.0
39,120.0,120.48765145939974,249.88331277568946,176.245021939275,3050.878229508541,45.0
