Hour,Target_Q,Actual_Q,WHP,FLP,BHP,Choke_Position
0,80.0,40.52891215070243,1608.4843893943948,721.552737299528,2958.382926198101,15.0
1,80.0,54.088061334383625,1537.9435549151303,690.8601449056812,2868.0417342672667,20.0
2,80.0,69.51153110855448,1468.2179211474256,662.1580624956728,2776.6310180104706,25.0
3,80.0,80.43348353553695,1409.4395479250643,637.7108199324724,2697.404106312835,29.0
4,80.0,80.79142995344723,1410.2525545359322,638.1196492178766,2696.96606258108,29.0
5,80.0,80.50536885096098,1410.5832368323042,638.8753714851256,2698.6245196711175,29.0
6,80.0,79.74433422884458,1411.9388728132722,637.8725201229748,2697.0602776723626,29.0
7,80.0,80.70419789453157,1411.376220647978,637.8944068208667,2698.8266126875837,29.0
8,80.0,80.87944479607407,1407.9715059998052,637.853443447646,2696.7392452731406,29.0
9,80.0,80.58170068440623,1410.7524379240733,637.467444369693,2697.7626988778893,29.0
10,80.0,80.35027879792301,1408.9319083455487,637.253570079613,2699.14826244674,29.0
11,80.0,80.7344950863871,1409.3411064354764,638.7407171516847,2697.0020722889985,29.0
12,80.0,80.34301878992736,1411.3960887350725,638.7622074057844,2698.3867686997764,29.0
13,80.0,80.02114196517428,1408.529138064659,638.3271967569309,2698.5429403740154,29.0
14,80.0,80.68947578207852,1408.9984608561756,638.3613304823974,2696.3768125372053,29.0
15,80.0,81.02960482797018,1408.4985639433567,637.0913694464167,2695.060955195954,29.0
16,80.0,80.34822465433,1411.8294135029632,638.9954717326956,2697.1589357774783,29.0
17,80.0,80.38877038470775,1410.9330180729908,638.2220114295959,2698.1931228897133,29.0
18,80.0,81.0127655594781,1411.8143953298706,638.696741526471,2698.2899067695143,29.0
19,80.0,80.47840001828851,1410.7912662951246,638.7909496468944,2698.7685458281853,29.0
20,80.0,79.53499638682663,1409.1349109815076,639.4959948637558,2696.1195558245636,29.0
21,80.0,80.8296958139802,1409.7392663706614,639.1275867717567,2695.467818932833,29.0
22,80.0,80.34089447159239,1408.7130142437115,637.5296022711902,2697.839382429128,29.0
23,80.0,79.67284148938136,1409.0734871571228,637.5688732232466,2696.3667319313804,29.0
24,80.0,79.43279526966809,1411.292642861843,638.9474223099378,2697.5468743191573,29.0
25,160.0,94.97324746938415,1332.366949869638,606.8010058944282,2596.2113699096044,34.0
26,160.0,110.20410679652855,1256.3482572268601,575.0680281682395,2493.1159477489746,39.0
27,160.0,124.19164322961657,1174.6085770926402,540.8234898154172,2384.236437839622,44.0
28,160.0,140.08747016693988,1092.7997761952558,507.6346546002273,2272.473020863646,49.0
29,160.0,154.75701749099818,1006.5767763196835,471.74846213900133,2155.967043775614,54.0
30,160.0,160.14250356924242,980.1340369118825,460.71225343527624,2120.6281720323377,55.5
31,160.0,159.49171975907763,980.9101223022693,460.1953227281117,2121.8087632127913,55.5
32,160.0,161.03018367318558,970.7334104849764,457.20128857781475,2109.644039098866,56.0
33,160.0,162.12939457860972,972.6048263793123,457.7377221046334,2108.659924820047,56.0
34,160.0,160.59774203583277,972.7924395740488,457.82126609195166,2110.0028889988275,56.0
35,160.0,161.1005219107282,972.9340816080114,457.41784449243136,2108.6060821731176,56.0
36,160.0,160.5418192493105,969.1420457355915,457.16085284455374,2109.1707119558932,56.0
37,160.0,161.6823324944527,971.717987900307,457.7169698338643,2109.8673866402487,56.0
38,160.0,161.21026754740817,969.0840047191425,456.34644489752424,2109.9328292367345,56.0
39,160.0,160.8221351671626,971.4293690516648,457.42088613020417,2109.411045594083,56.0
40,160.0,161.7889765145466,971.4074819230353,457.177207505011,2110.2062655980912,56.0
41,160.0,160.82180200411617,972.2368000726779,458.3185986129198,2108.5563163667857,56.0
42,160.0,161.1268613413091,973.2416374300046,457.40552023865655,2108.095402441171,56.0
43,160.0,161.3595681359478,970.1643685305544,457.1013248592758,2108.786095308137,56.0
44,160.0,160.6332919866677,971.0952554929023,457.01752851634376,2109.4549063020204,56.0
45,160.0,161.2908836553028,970.3786597058668,456.80816413668714,2107.7515318219844,56.0
46,160.0,160.9499977737435,971.3427152216241,456.6715252074209,2108.8727027842115,56.0
47,160.0,161.4522114603849,971.2813863828493,457.3076640535986,2108.149131168156,56.0
48,160.0,160.88258370361206,972.1523904635569,456.62223124077036,2107.787637307173,56.0
49,160.0,160.53723323604336,970.9583080456521,457.06364775117174,2109.021250078544,56.0
