Hour,Target_Q,Actual_Q,WHP,FLP,BHP,Choke_Position
0,350.0,40.39926295788689,1606.8808144924712,719.4407180660066,2958.1013040014163,15.0
1,350.0,54.35634952794768,1539.7181935922706,691.9152786559785,2867.651357811655,20.0
2,350.0,68.15336820451569,1467.9106831042377,661.8967311302054,2775.7592246913055,25.0
3,350.0,83.91641189280797,1395.7377329227666,632.4926203411138,2676.7190901697736,30.0
4,350.0,97.32603129333414,1318.5845308949677,601.4639646982394,2578.7422046281304,35.0
5,350.0,112.92485411036408,1239.714643461737,567.8247186272167,2471.8399961244886,40.0
6,350.0,128.08469555023473,1157.7282846094374,534.3609412883866,2364.872180688428,45.0
7,350.0,143.1210984334567,1074.6095519014434,499.4510265848958,2251.6527074398086,50.0
8,350.0,157.4712136960612,988.7105900400145,464.99550816598395,2133.081909296286,55.0
9,350.0,172.6922628711802,901.6145650348259,428.12079626246856,2011.254751262675,60.0
10,350.0,188.18868405598133,807.4580941611249,390.3617920739221,1887.1872174015696,65.0
11,350.0,204.26334812186164,715.7120008926963,352.7992434678602,1760.0084608341876,70.0
12,350.0,220.12342485302136,619.7372074606062,313.38476990547116,1624.5926991343474,75.0
13,350.0,235.39317331369733,518.6987150180578,272.68763688206496,1487.9978347598478,80.0
14,350.0,238.41121229858828,500.3467817213932,263.37899929046233,1460.6167971310942,81.0
15,350.0,239.33493460940144,500.791338480645,263.9579944751526,1458.3968688446676,81.0
16,350.0,239.63480138633975,499.6131077662397,264.38439864989954,1461.1905758537605,81.0
17,350.0,239.77549368191762,498.71095117830845,263.66423686644794,1462.19892309465,81.0
18,350.0,238.55016817966035,499.70724862181123,263.4314457511147,1458.481800378504,81.0
19,350.0,239.5496854624901,499.9317832735339,264.0087169018778,1461.8378832468677,81.0
20,350.0,238.58680156850207,499.8267006460362,263.5192257360896,1460.4179502868603,81.0
21,350.0,239.29742845674252,499.06516541481477,263.61266040126554,1459.9413364194756,81.0
22,350.0,238.9548267746307,500.45714639447874,263.0967505495911,1458.9152318501758,81.0
23,350.0,238.88616988398752,500.47135111446494,264.01948049789956,1460.9216535905696,81.0
24,350.0,239.26352397706327,499.471014553555,264.4232572008015,1460.998746357782,81.0
25,350.0,239.22057089552695,498.9129997336056,264.29829094966897,1459.3217393897166,81.0
26,350.0,238.35870359335559,500.2142771270237,263.2145598742166,1458.9603898592666,81.0
27,350.0,238.64980561805405,501.1244532463028,263.23553747345113,1460.2387686712086,81.0
28,350.0,239.02139121951097,498.86138771560036,264.2369281901983,1460.6337403298749,81.0
29,350.0,239.30102975419777,500.1781952145936,264.6017081097145,1460.6223981834332,81.0
30,350.0,239.12457967502968,499.643240422906,263.5388033110731,1459.7513872999555,81.0
31,350.0,237.94873205869115,501.71996038263165,264.1407365621423,1459.9429570344332,81.0
32,350.0,238.55988000316466,499.2138445547289,264.06511169223467,1460.135445081325,81.0
33,350.0,239.2452648463156,499.2076946392768,263.2596957754211,1456.3943925298142,81.0
34,350.0,239.32424527958474,500.1500192560971,263.97739351669645,1460.9239966582188,81.0
35,350.0,238.90710354550984,500.28953987289174,263.39351902421015,1458.9231231463455,81.0
36,350.0,239.23828460038317,499.359206750257,264.155104875489,1458.4507800514739,81.0
37,350.0,238.50246288737458,500.46039897836744,264.01080422951895,1459.510568926167,81.0
38,350.0,238.97140465588504,499.1861391472329,263.56212083383286,1460.256489412762,81.0
39,350.0,238.7543142151139,499.04718912925745,263.8448118515893,1458.9534880509568,81.0
40,350.0,239.11298432281632,501.02621187644814,263.4176982708578,1460.9899292061457,81.0
41,350.0,238.20744880454288,500.02756799386367,263.99117739055305,1459.1818728576707,81.0
42,350.0,239.52240268230517,497.8033978444559,263.8065823630308,1459.427038289022,81.0
43,350.0,239.35492856163845,500.38653523374734,263.2554442878145,1462.1782732229947,81.0
44,350.0,238.76755255075292,499.615516632731,263.81979781905784,1461.0439406472153,81.0
45,350.0,239.6710811667329,499.65583895984605,263.10437104590676,1458.5207376054723,81.0
46,350.0,239.41994469564085,500.04518206292494,263.9771311146382,1460.6412548061198,81.0
47,350.0,238.5629843100022,499.7162920920359,263.28419760049115,1460.3859730092374,81.0
48,350.0,239.95181777113814,500.5286040964846,263.95232613272924,1457.247441586663,81.0
49,350.0,238.94680905918574,500.54002558277864,263.9509023447236,1460.2958713471132,81.0
