Time_hr,Target_Q,Actual_Q,WHP,FLP,BHP,Choke_Position
0,220.0,101.76874242458062,258.9006629500574,182.82502323557912,3079.241497161085,35.0
1,220.0,111.1606357622399,255.0402995898702,179.7559421393983,3067.306282866073,40.0
2,220.0,120.06625461470239,248.7297282871394,175.71204771890083,3051.2545351209205,45.0
3,220.0,128.350588790549,244.82636916887532,171.5281747731134,3029.2855102241074,50.0
4,220.0,135.6762770479794,238.50028093981095,167.85301232002035,3004.384293553139,55.0
5,220.0,143.30590573179737,232.11165692284234,164.1715608732385,2970.622158436719,60.0
6,220.0,150.16943931931496,225.42522584979253,160.09872969559768,2936.5690540565547,65.0
7,220.0,154.8105710152676,220.41632662963696,156.25611463309042,2905.3559458136533,68.8
8,220.0,154.8043405350627,219.70101216115728,156.4692681015178,2905.4055394737484,68.8
9,220.0,154.75243837420862,220.58326313597908,155.90511290003005,2905.7903057994627,68.8
10,220.0,155.18974140014265,219.92699828426342,156.5610719813978,2906.2480014242806,68.8
11,220.0,154.73534420932071,219.0487761856417,156.4847823139479,2905.5367184225083,68.8
12,220.0,154.72335087841898,220.01951015743182,156.2270448254618,2906.094883470851,68.8
13,220.0,154.3162436786862,220.28851293384255,155.89228272756924,2905.272178905351,68.8
14,220.0,154.31959046339574,220.65323393458303,155.95152439264774,2904.409120971546,68.8
15,220.0,154.64630573836592,220.08267348592557,155.75517209287477,2904.8635571206823,68.8
16,220.0,154.74688462544506,220.25665053281384,156.65140881227342,2904.759880173006,68.8
17,220.0,154.57754763697773,220.47338497818856,156.2476548657056,2904.693837613905,68.8
18,220.0,154.92211761264474,219.75274456736474,155.6830591411375,2905.796643107067,68.8
19,220.0,155.04846464807645,219.9513476790625,156.49936533440587,2906.1069448717435,68.8
20,220.0,154.45561713882432,220.94237374405742,156.35599225686016,2904.9050561029526,68.8
21,220.0,154.61567393866073,219.65096642037113,156.71385252645103,2904.855943230307,68.8
22,220.0,154.60062460809542,219.7507863869305,156.5794362460951,2905.6440953208808,68.8
23,220.0,154.743652381657,219.9713456638039,155.97553480278856,2905.038121280961,68.8
24,220.0,154.63312271791125,219.98112706051745,156.62468635164706,2905.934256806028,68.8
25,220.0,154.44809887944373,219.64448289361468,156.41154921309035,2906.235539803642,68.8
26,220.0,154.51730550970248,219.9560129969289,157.0034411266895,2905.4738587718884,68.8
27,220.0,154.8050368807802,220.78634267744263,156.3411749456435,2905.8123732350136,68.8
28,220.0,154.78248472480738,220.13965925505363,156.54139113345906,2904.662384423155,68.8
29,220.0,154.49341626831963,220.21500116593623,156.90471493253835,2905.639190042429,68.8
30,220.0,154.86209973053877,220.17823719764016,156.20954264450793,2906.076843862705,68.8
31,220.0,155.00629250219387,219.7272765542768,156.27373437205657,2904.495068311666,68.8
32,220.0,154.79403011269395,220.03102420630407,156.82452266435192,2904.724215331841,68.8
33,220.0,154.57536894480654,220.68009848617305,156.0128867771177,2906.963142875466,68.8
34,220.0,154.76256740556622,220.20607927702346,156.01281635088844,2904.602364500985,68.8
35,220.0,154.7890583782659,220.71337941490296,156.39895656561268,2905.8076643174436,68.8
36,220.0,154.85556847027613,220.270654489366,156.32308471884406,2905.3764676024502,68.8
37,220.0,154.9481851251473,219.94476230105732,156.9125637556387,2906.0436056195817,68.8
38,220.0,154.7341646766447,220.63109022842767,156.2560344557575,2905.540744020504,68.8
39,220.0,154.701637357337,219.83480166453592,156.49971115993858,2906.2172480227246,68.8
